shop,zip,url,phone,probable_builder_clue,whois_summary,confidence
Littleton Auto Repair,80120,https://www.littletonautorepairs.com/,(303) 798-4427,no visible builder,whois: GoDaddy; no explicit builder found,low
Pro Auto Care,80120,https://proauto1.com/,(303) 647-9974,no visible builder,whois: Network Solutions; HostGator DNS,low
Colorado Car Clinic,80120,https://www.coloradocarclinic.com/,(303) 730-0055,no visible builder,whois: GoDaddy (privacy),low
Thompson Automotive,80120,https://thompsonautoservice.com/,(303) 276-1460,no visible builder,whois: GoDaddy,low
Hartman Automotive,80121,http://hartmanautomotive.com/,(303) 798-7959,no visible builder,whois: GoDaddy,low
Hinsdale Automotive,80121,http://hinsdaleauto.com/,(303) 617-0152,WordPress generator detected,whois: SiteGround DNS,medium
Keller Bros.,80122,https://kellerbros.com/,(303) 347-1010,"""design by"" credit present",whois: Perfect Privacy (private registrant),high
Pride Auto Care,80122,https://www.prideautocare.com/littleton-auto-repair,(983) 983-6787,WordPress detected,whois: AWS nameservers,medium
Franklynn Automotive,80122,https://franklynnauto.com/,(303) 730-4137,WordPress detected,whois: privacy service,medium
Suba Rupair,80110,http://subarupair.com/,(303) 241-7603,Squarespace detected,whois: Squarespace registrar,medium
Z Auto Service,80110,https://zautoservice.com/,(303) 578-3991,WordPress/Wix signals,whois: AWS nameservers,medium
AutoImports of Denver,80110,https://www.autoimportsco.com/,(303) 762-1855,no visible builder,whois: Register.com/Perfect Privacy,low
The Auto Station,80110,https://www.theautostation.com/,(303) 781-4313,no visible builder,whois: GoDaddy,low
Specialized Preferred Auto,80110,https://spaautoservice.com/,(720) 425-8383,WordPress detected,whois: Namecheap/Privacy,medium
Randy's Auto Care,80113,https://bestshopinlittleton.com/,(303) 795-9370,GoDaddy powered / theme,whois: GoDaddy,low
BM Auto Expert,80113,http://bmautoexpert.com/,,Wix detected,whois: Wix registrar,medium
